Match date,Tournament,Home team,Home team corners,Away team corners,Away team,Home team corners kicked,Home team corners average,Corners >5 home team,Away team corners concieved,Corners >5 concieved away team,Away team corners concieved average,Corners difference,Corners >5 against home team,label
2014-08-01,PrimD,Espanyol,3,7,Sevilla,39,4,2,62,7,6,-23,1,<5
2014-05-01,PrimD,Getafe,7,0,Sevilla,68,7,6,66,7,7,2,1,>=5
2014-04-07,PrimD,Athletic Bilbao,6,2,Sevilla,67,7,7,68,7,7,-1,1,>=5
2014-04-03,PrimD,Real Betis,8,1,Sevilla,61,6,7,65,6,7,-4,,>=5
2014-03-09,PrimD,Celta Vigo,11,7,Sevilla,49,5,3,60,6,6,-11,,>=5
2014-03-09,PrimD,Almeria,3,8,Sevilla,49,5,4,58,6,6,-9,,<5
2014-03-03,PrimD,Osasuna,7,1,Sevilla,50,5,3,58,6,6,-8,1,>=5
2014-02-03,PrimD,Rayo Vallecano,1,7,Sevilla,79,8,10,63,7,6,16,,<5
2014-02-01,PrimD,Malaga,3,5,Sevilla,44,4,2,68,8,7,-24,1,<5
2014-01-09,PrimD,Atletico Madrid,8,3,Sevilla,82,8,9,65,7,7,17,3,>=5
2014-01-01,PrimD,Elche,8,5,Sevilla,,,,62,6,6,,,>=5
2013-12-01,PrimD,Villarreal,11,4,Sevilla,67,7,7,55,5,6,12,,>=5
2013-12-01,PrimD,Granada,8,3,Sevilla,57,6,3,49,4,5,8,,>=5
2013-11-01,PrimD,Espanyol,5,4,Sevilla,63,6,5,49,4,5,14,2,>=5
2013-10-01,PrimD,Valladolid,6,5,Sevilla,61,6,5,49,4,5,12,,>=5
2013-10-01,PrimD,Real Madrid,1,1,Sevilla,69,7,7,54,5,5,15,2,<5
2013-09-08,PrimD,Real Sociedad,7,5,Sevilla,76,8,6,52,4,5,24,0,>=5
2013-09-04,PrimD,Barcelona,6,9,Sevilla,76,8,8,55,4,6,21,3,>=5
2013-09-02,PrimD,Valencia,8,8,Sevilla,63,6,6,50,3,5,13,3,>=5
2013-08-05,PrimD,Levante,5,7,Sevilla,56,6,7,51,4,5,5,1,>=5
2013-05-08,PrimD,Osasuna,5,4,Sevilla,71,7,8,50,4,5,21,,>=5
2013-05-02,PrimD,Malaga,4,6,Sevilla,49,5,3,49,4,5,0,,<5
2013-04-08,PrimD,Valladolid,2,9,Sevilla,59,6,6,54,5,5,5,,<5
2013-04-02,PrimD,Real Betis,5,1,Sevilla,53,5,6,51,5,5,2,,>=5
2013-03-09,PrimD,Mallorca,6,9,Sevilla,84,8,8,50,4,5,34,,>=5
2013-03-01,PrimD,Levante,6,5,Sevilla,51,5,5,47,3,5,4,,>=5
2013-02-09,PrimD,Real Madrid,5,9,Sevilla,76,8,6,51,4,5,25,,>=5
2013-02-03,PrimD,Barcelona,9,2,Sevilla,66,7,6,47,3,5,19,,>=5
2013-01-09,PrimD,Getafe,3,8,Sevilla,59,6,3,52,4,5,7,,<5
2013-01-02,PrimD,Valencia,6,1,Sevilla,71,7,5,55,4,6,16,,>=5
2012-12-07,PrimD,Espanyol,4,3,Sevilla,58,6,5,55,4,6,3,,<5
2012-12-01,PrimD,Real Sociedad,3,6,Sevilla,82,8,8,59,5,6,23,,<5
2012-11-05,PrimD,Atletico Madrid,7,0,Sevilla,70,7,9,63,5,6,7,,>=5
2012-11-01,PrimD,Athletic Bilbao,2,7,Sevilla,72,7,7,70,6,7,2,,<5
2012-10-08,PrimD,Real Zaragoza,5,5,Sevilla,45,5,4,68,6,7,-23,,>=5
2012-10-05,PrimD,Celta Vigo,3,6,Sevilla,,,,71,7,7,,,<5
2012-09-04,PrimD,D Coruna,9,10,Sevilla,59,6,6,65,6,7,-6,,>=5
2012-09-02,PrimD,Rayo Vallecano,5,6,Sevilla,69,7,7,63,6,6,6,,>=5
2012-05-03,PrimD,Espanyol,8,7,Sevilla,60,6,6,66,6,7,-6,,>=5
2012-04-09,PrimD,Real Madrid,9,4,Sevilla,75,8,6,67,6,7,8,,>=5
2012-04-08,PrimD,Athletic Bilbao,4,3,Sevilla,78,8,7,76,7,8,2,,<5
2012-04-06,PrimD,Getafe,7,7,Sevilla,47,5,2,76,7,8,-29,,>=5
2012-03-06,PrimD,Granada,11,2,Sevilla,53,5,4,67,6,7,-14,,>=5
2012-02-06,PrimD,Valencia,9,4,Sevilla,56,6,3,63,5,6,-7,,>=5
2012-02-03,PrimD,Real Sociedad,3,6,Sevilla,59,6,3,67,6,7,-8,,<5
2012-01-09,PrimD,Malaga,6,3,Sevilla,66,7,5,68,6,7,-2,,>=5
2012-01-08,PrimD,Rayo Vallecano,3,11,Sevilla,,,,70,6,7,,,<5
2011-12-01,PrimD,Levante,3,3,Sevilla,52,5,6,72,6,7,-20,,<5
2011-11-07,PrimD,Real Zaragoza,11,8,Sevilla,37,4,2,73,6,7,-36,,>=5
2011-11-05,PrimD,Mallorca,10,9,Sevilla,61,6,6,72,6,7,-11,,>=5
2011-10-02,PrimD,Barcelona,13,3,Sevilla,82,8,7,68,6,7,14,,>=5
2011-10-02,PrimD,Atletico Madrid,7,5,Sevilla,85,9,8,65,5,7,20,,>=5
2011-09-01,PrimD,Villarreal,2,1,Sevilla,47,5,3,68,5,7,-21,,<5
2011-09-01,PrimD,Osasuna,5,3,Sevilla,68,7,8,71,6,7,-3,,>=5
2011-05-01,PrimD,Espanyol,7,1,Sevilla,44,4,4,73,6,7,-29,,>=5
2011-05-01,PrimD,Osasuna,7,2,Sevilla,66,7,7,73,6,7,-7,,>=5
2011-04-09,PrimD,Mallorca,5,5,Sevilla,48,5,4,79,7,8,-31,,>=5
2011-04-06,PrimD,Getafe,5,2,Sevilla,62,6,6,77,7,8,-15,,>=5
2011-03-06,PrimD,Athletic Bilbao,12,8,Sevilla,73,7,8,69,6,7,4,,>=5
2011-03-01,PrimD,Valencia,9,6,Sevilla,70,7,7,,,,,,>=5
2011-02-06,PrimD,Atletico Madrid,9,3,Sevilla,79,8,7,,,,,,>=5
2011-01-09,PrimD,D Coruna,4,5,Sevilla,,,,,,,,,<5
2011-01-08,PrimD,Real Sociedad,5,7,Sevilla,,,,,,,,,>=5
2010-12-09,PrimD,Real Madrid,8,3,Sevilla,,,,,,,,,>=5
2010-12-05,PrimD,Villarreal,9,3,Sevilla,,,,,,,,,>=5
2010-11-04,PrimD,Real Zaragoza,7,3,Sevilla,,,,,,,,,>=5
2010-10-01,PrimD,Barcelona,11,1,Sevilla,,,,,,,,,>=5
2010-09-09,PrimD,Malaga,3,8,Sevilla,,,,,,,,,<5
2010-08-08,PrimD,Levante,4,2,Sevilla,,,,,,,,,<5
2019-10-06,PrimD,Real Sociedad,3,8,Getafe,52,5,3,41,0,4,11,2,<5
2019-09-05,PrimD,Real Betis,5,6,Getafe,62,6,6,42,1,4,20,0,>=5
2019-09-05,PrimD,Valencia,4,5,Getafe,63,6,8,41,1,4,22,1,<5
2019-08-08,PrimD,Atletico Madrid,3,4,Getafe,42,4,2,44,2,4,-2,1,<5
2019-05-02,PrimD,Barcelona,4,3,Getafe,53,5,3,47,3,5,6,1,<5
2019-04-08,PrimD,Real Sociedad,5,7,Getafe,51,5,4,46,3,5,5,3,>=5
2019-04-04,PrimD,Valladolid,5,3,Getafe,72,7,7,43,3,4,29,,>=5
2019-04-02,PrimD,Espanyol,5,4,Getafe,49,5,5,48,4,5,1,2,>=5
2019-03-07,PrimD,Valencia,3,5,Getafe,77,8,9,51,5,5,26,2,<5
2019-03-03,PrimD,Real Betis,4,4,Getafe,51,5,6,50,5,5,1,1,<5
2019-02-05,PrimD,Eibar,3,3,Getafe,79,8,7,52,5,5,27,1,<5
2019-02-02,PrimD,Levante,6,5,Getafe,64,6,6,53,5,5,11,1,>=5
2019-01-06,PrimD,Atletico Madrid,3,6,Getafe,71,7,5,53,5,5,18,2,<5
2019-01-02,PrimD,Villarreal,6,1,Getafe,55,6,5,49,4,5,6,2,>=5
2018-12-07,PrimD,Leganes,7,2,Getafe,53,5,5,51,4,5,2,,>=5
2018-12-01,PrimD,Girona,4,1,Getafe,47,5,4,54,5,5,-7,,<5
2018-11-05,PrimD,Athletic Bilbao,2,2,Getafe,56,6,5,53,5,5,3,3,<5
2018-11-04,PrimD,SD Huesca,10,2,Getafe,,,,51,5,5,,,>=5
2018-10-01,PrimD,Rayo Vallecano,6,2,Getafe,55,6,4,52,5,5,3,2,>=5
2018-10-01,PrimD,Celta Vigo,3,9,Getafe,53,5,4,57,6,6,-4,1,<5
2018-09-07,PrimD,CD Alaves,5,7,Getafe,34,3,2,54,6,5,-20,,>=5
2018-09-06,PrimD,Sevilla,7,1,Getafe,62,6,6,56,6,6,6,2,>=5
2018-08-09,PrimD,Real Madrid,3,0,Getafe,79,8,7,56,6,6,23,2,<5
2018-05-09,PrimD,Malaga,2,9,Getafe,48,5,4,59,6,6,-11,2,<5
2018-05-06,PrimD,Las Palmas,9,4,Getafe,52,5,5,51,5,5,1,,>=5
2018-04-08,PrimD,Valencia,7,5,Getafe,71,7,6,50,5,5,21,2,>=5
2018-04-07,PrimD,CD Alaves,1,3,Getafe,48,5,3,53,5,5,-5,,<5
2018-04-01,PrimD,Eibar,8,3,Getafe,60,6,6,48,4,5,12,,>=5
2018-03-07,PrimD,Real Sociedad,7,1,Getafe,67,7,6,43,3,4,24,3,>=5
2018-03-03,PrimD,Real Madrid,8,0,Getafe,77,8,8,38,2,4,39,2,>=5
2018-02-05,PrimD,Villarreal,2,8,Getafe,61,6,7,44,3,4,17,3,<5
2018-02-01,PrimD,Barcelona,9,3,Getafe,59,6,6,42,3,4,17,1,>=5
2018-01-08,PrimD,Sevilla,3,4,Getafe,71,7,7,42,3,4,29,3,<5
2018-01-06,PrimD,Atletico Madrid,5,0,Getafe,54,5,5,45,4,5,9,3,>=5
2017-12-07,PrimD,Girona,1,7,Getafe,,,,52,5,5,,,<5
2017-11-07,PrimD,Espanyol,6,4,Getafe,55,6,3,55,5,6,0,2,>=5
2017-11-03,PrimD,Real Betis,4,6,Getafe,50,5,4,59,6,6,-9,2,<5
2017-10-01,PrimD,Levante,3,2,Getafe,53,5,4,61,6,6,-8,1,<5
2017-09-08,PrimD,Leganes,2,4,Getafe,50,5,5,61,6,6,-11,,<5
2017-09-01,PrimD,Celta Vigo,3,2,Getafe,28,3,0,64,7,6,-36,1,<5
2017-09-01,PrimD,D Coruna,8,5,Getafe,61,6,5,60,6,6,1,2,>=5
2017-08-01,PrimD,Athletic Bilbao,7,6,Getafe,74,7,5,57,5,6,17,3,>=5
2016-05-05,PrimD,Real Betis,3,2,Getafe,52,5,5,59,5,6,-7,3,<5
2016-05-01,PrimD,D Coruna,8,5,Getafe,63,6,7,56,4,6,7,1,>=5
2016-04-01,PrimD,Real Sociedad,8,2,Getafe,73,7,7,51,3,5,22,2,>=5
2016-04-01,PrimD,Rayo Vallecano,9,6,Getafe,55,6,6,47,2,5,8,2,>=5
2016-04-01,PrimD,Villarreal,8,5,Getafe,47,5,3,46,2,5,1,2,>=5
2016-03-02,PrimD,Barcelona,5,3,Getafe,56,6,8,50,3,5,6,1,>=5
2016-03-01,PrimD,Las Palmas,2,6,Getafe,36,4,2,60,4,6,-24,,<5
2016-02-09,PrimD,Levante,6,8,Getafe,55,6,5,60,4,6,-5,1,>=5
2016-02-05,PrimD,Malaga,4,6,Getafe,56,6,6,61,4,6,-5,2,<5
2016-01-04,PrimD,Sporting Gijon,4,2,Getafe,60,6,6,65,5,7,-5,,<5
2016-01-03,PrimD,Granada,5,3,Getafe,52,5,5,67,6,7,-15,1,>=5
2015-12-09,PrimD,Valencia,5,1,Getafe,52,5,5,72,7,7,-20,3,>=5
2015-12-05,PrimD,Real Madrid,3,4,Getafe,96,10,9,74,7,7,22,3,<5
2015-11-07,PrimD,Eibar,5,7,Getafe,37,4,1,75,8,8,-38,,>=5
2015-10-04,PrimD,Sevilla,7,3,Getafe,54,5,4,73,7,7,-19,3,>=5
2015-10-02,PrimD,Celta Vigo,9,1,Getafe,47,5,2,74,7,7,-27,0,>=5
2015-09-03,PrimD,Athletic Bilbao,12,5,Getafe,56,6,5,68,7,7,-12,3,>=5
2015-09-02,PrimD,Atletico Madrid,6,1,Getafe,61,6,6,69,7,7,-8,3,>=5
2015-08-02,PrimD,Espanyol,5,6,Getafe,51,5,4,70,8,7,-19,3,>=5
2015-05-03,PrimD,Real Madrid,8,7,Getafe,78,8,8,64,7,6,14,2,>=5
2015-05-01,PrimD,Rayo Vallecano,7,5,Getafe,56,6,4,61,6,6,-5,1,>=5
2015-04-09,PrimD,Elche,10,4,Getafe,48,5,4,54,5,5,-6,,>=5
2015-04-08,PrimD,Barcelona,5,6,Getafe,66,7,6,57,6,6,9,2,>=5
2015-04-08,PrimD,Athletic Bilbao,6,1,Getafe,72,7,6,59,6,6,13,3,>=5
2015-03-09,PrimD,Cordoba,5,6,Getafe,42,4,4,58,6,6,-16,,>=5
2015-03-01,PrimD,Atletico Madrid,10,5,Getafe,60,6,5,54,6,5,6,3,>=5
2015-02-08,PrimD,Malaga,6,5,Getafe,61,6,2,56,6,6,5,1,>=5
2015-02-05,PrimD,Valencia,7,0,Getafe,46,5,4,53,5,5,-7,2,>=5
2015-02-01,PrimD,Almeria,6,3,Getafe,49,5,4,51,4,5,-2,,>=5
2015-01-01,PrimD,Eibar,2,3,Getafe,,,,60,5,6,,,<5
2014-12-08,PrimD,Levante,4,0,Getafe,41,4,3,59,5,6,-18,2,<5
2014-12-01,PrimD,Granada,3,5,Getafe,52,5,4,62,6,6,-10,1,<5
2014-11-03,PrimD,Villarreal,8,4,Getafe,64,6,6,60,6,6,4,2,>=5
2014-10-01,PrimD,Real Sociedad,8,4,Getafe,77,8,8,61,6,6,16,2,>=5
2014-10-01,PrimD,D Coruna,4,6,Getafe,59,6,5,69,7,7,-10,,<5
2014-09-05,PrimD,Espanyol,6,4,Getafe,43,4,3,67,6,7,-24,3,>=5
2014-09-04,PrimD,Sevilla,8,5,Getafe,60,6,7,64,5,6,-4,3,>=5
2014-08-04,PrimD,Celta Vigo,4,4,Getafe,50,5,3,69,6,7,-19,,<5
2014-05-08,PrimD,Rayo Vallecano,4,6,Getafe,59,6,6,74,7,7,-15,,<5
2014-05-03,PrimD,Barcelona,11,3,Getafe,77,8,6,70,7,7,7,1,>=5
2014-04-09,PrimD,Levante,3,4,Getafe,39,4,2,75,8,8,-36,2,<5
2014-04-06,PrimD,Elche,6,2,Getafe,63,6,7,78,8,8,-15,,>=5
2014-03-08,PrimD,Real Betis,6,6,Getafe,59,6,6,81,8,8,-22,,>=5
2014-03-02,PrimD,Athletic Bilbao,9,4,Getafe,76,8,8,86,8,9,-10,3,>=5
2014-03-01,PrimD,Valencia,12,5,Getafe,65,7,7,83,8,8,-18,2,>=5
2014-02-09,PrimD,Osasuna,4,6,Getafe,53,5,4,85,9,9,-32,1,<5
2014-02-02,PrimD,Celta Vigo,5,0,Getafe,50,5,3,90,10,9,-40,,>=5
2014-01-06,PrimD,Almeria,9,12,Getafe,45,5,3,85,9,9,-40,,>=5
2014-01-05,PrimD,Sevilla,9,2,Getafe,72,7,7,80,8,8,-8,3,>=5
2013-12-04,PrimD,Malaga,7,4,Getafe,44,4,2,76,7,8,-32,1,>=5
2013-11-03,PrimD,Atletico Madrid,8,3,Getafe,70,7,7,75,7,8,-5,2,>=5
2013-10-01,PrimD,Villarreal,9,8,Getafe,55,6,4,72,7,7,-17,,>=5
2013-10-01,PrimD,Granada,9,3,Getafe,64,6,3,69,7,7,-5,,>=5
2013-09-09,PrimD,Espanyol,14,4,Getafe,59,6,6,68,7,7,-9,3,>=5
2013-09-02,PrimD,Real Madrid,9,5,Getafe,66,7,6,63,6,6,3,2,>=5
2013-08-07,PrimD,Real Sociedad,6,5,Getafe,80,8,7,63,6,6,17,1,>=5
2013-08-01,PrimD,Valladolid,10,5,Getafe,54,5,5,63,6,6,-9,,>=5
2013-06-01,PrimD,Granada,4,5,Getafe,60,6,4,63,6,6,-3,,<5
2013-05-01,PrimD,Osasuna,4,4,Getafe,76,8,9,67,7,7,9,,<5
2013-04-08,PrimD,Malaga,3,8,Getafe,54,5,4,70,8,7,-16,,<5
2013-04-03,PrimD,Valladolid,7,5,Getafe,54,5,5,70,8,7,-16,,>=5
2013-04-01,PrimD,Real Betis,6,5,Getafe,55,6,6,72,8,7,-17,,>=5
2013-03-01,PrimD,Levante,6,3,Getafe,49,5,4,74,8,7,-25,,>=5
2013-02-03,PrimD,Mallorca,13,5,Getafe,72,7,8,65,7,7,7,,>=5
2013-02-01,PrimD,Barcelona,4,0,Getafe,71,7,7,67,8,7,4,,<5
2013-01-07,PrimD,Rayo Vallecano,6,2,Getafe,69,7,6,69,8,7,0,,>=5
2013-01-07,PrimD,Real Madrid,10,3,Getafe,84,8,7,65,8,7,19,,>=5
2012-12-08,PrimD,Real Sociedad,4,8,Getafe,79,8,7,66,8,7,13,,<5
2012-12-01,PrimD,Valencia,8,8,Getafe,66,7,4,71,8,7,-5,,>=5
2012-11-05,PrimD,Espanyol,6,4,Getafe,68,7,6,72,8,7,-4,,>=5
2012-11-01,PrimD,Atletico Madrid,7,6,Getafe,68,7,8,69,7,7,-1,,>=5
2012-10-08,PrimD,Athletic Bilbao,8,3,Getafe,66,7,6,65,6,7,1,,>=5
2012-10-06,PrimD,Real Zaragoza,8,5,Getafe,47,5,4,65,6,7,-18,,>=5
2012-09-02,PrimD,Celta Vigo,4,4,Getafe,,,,65,6,7,,,<5
2012-09-01,PrimD,D Coruna,6,6,Getafe,57,6,5,69,6,7,-12,,>=5
2012-08-08,PrimD,Sevilla,8,8,Getafe,70,7,8,71,6,7,-1,,>=5
2012-05-05,PrimD,Athletic Bilbao,6,2,Getafe,68,7,5,74,6,7,-6,,>=5
2012-04-02,PrimD,Granada,5,1,Getafe,63,6,5,77,7,8,-14,,>=5
2012-04-01,PrimD,Barcelona,13,5,Getafe,79,8,7,72,7,7,7,,>=5
2012-04-01,PrimD,Atletico Madrid,7,3,Getafe,77,8,7,70,6,7,7,,>=5
2012-03-02,PrimD,Villarreal,4,4,Getafe,49,5,3,75,7,8,-26,,<5
2012-03-01,PrimD,Osasuna,4,5,Getafe,59,6,6,76,7,8,-17,,<5
2012-02-05,PrimD,Real Betis,8,7,Getafe,83,8,7,76,7,8,7,,>=5
2012-02-02,PrimD,Rayo Vallecano,4,3,Getafe,,,,76,7,8,,,<5
2012-01-09,PrimD,Levante,10,3,Getafe,51,5,5,70,6,7,-19,,>=5
2012-01-04,PrimD,Real Zaragoza,10,9,Getafe,47,5,3,68,6,7,-21,,>=5
2011-12-07,PrimD,Mallorca,9,3,Getafe,67,7,7,66,6,7,1,,>=5
2011-12-05,PrimD,Sevilla,8,3,Getafe,41,4,4,65,6,7,-24,,>=5
2011-11-01,PrimD,Sporting Gijon,8,1,Getafe,43,4,2,59,5,6,-16,,>=5
2011-10-09,PrimD,Valencia,5,3,Getafe,81,8,7,59,5,6,22,,>=5
2011-10-03,PrimD,Real Sociedad,9,5,Getafe,55,6,3,58,5,6,-3,,>=5
2011-10-01,PrimD,Malaga,5,1,Getafe,68,7,7,60,6,6,8,,>=5
2011-09-02,PrimD,Espanyol,8,0,Getafe,52,5,5,61,6,6,-9,,>=5
2011-09-01,PrimD,Real Madrid,4,6,Getafe,90,9,9,60,6,6,30,,<5
2011-05-01,PrimD,Real Sociedad,4,3,Getafe,66,7,5,62,7,6,4,,<5
2011-05-01,PrimD,Villarreal,8,5,Getafe,46,5,3,63,7,6,-17,,>=5
2011-05-01,PrimD,Real Madrid,7,4,Getafe,95,10,9,66,7,7,29,,>=5
2011-04-04,PrimD,Mallorca,7,5,Getafe,49,5,4,66,7,7,-17,,>=5
2011-04-01,PrimD,Real Zaragoza,2,9,Getafe,57,6,4,66,7,7,-9,,<5
2011-03-09,PrimD,Barcelona,5,3,Getafe,82,8,7,67,8,7,15,,>=5
2011-03-06,PrimD,Sporting Gijon,8,1,Getafe,,,,63,7,6,,,>=5
2011-02-07,PrimD,Hércules CF,7,9,Getafe,,,,61,6,6,,,>=5
2011-02-03,PrimD,Malaga,9,3,Getafe,,,,60,6,6,,,>=5
2011-01-09,PrimD,Levante,3,3,Getafe,,,,,,,,,<5
2011-01-09,PrimD,Osasuna,6,11,Getafe,,,,,,,,,>=5
2010-12-09,PrimD,Almeria,9,10,Getafe,,,,,,,,,>=5
2010-11-07,PrimD,Sevilla,10,6,Getafe,,,,,,,,,>=5
2010-11-04,PrimD,Valencia,7,5,Getafe,,,,,,,,,>=5
2010-10-06,PrimD,Atletico Madrid,2,8,Getafe,,,,,,,,,<5
2010-10-01,PrimD,Athletic Bilbao,6,4,Getafe,,,,,,,,,>=5
2010-09-06,PrimD,Racing Santande,4,6,Getafe,,,,,,,,,<5
2010-09-01,PrimD,D Coruna,5,7,Getafe,,,,,,,,,>=5
2010-08-09,PrimD,Espanyol,8,4,Getafe,,,,,,,,,>=5
2019-05-08,PrimD,CD Alaves,6,4,Girona,49,5,3,55,5,6,-6,,>=5
2019-05-05,PrimD,Getafe,1,3,Girona,44,4,2,65,6,7,-21,,<5
2019-04-03,PrimD,Valladolid,4,5,Girona,74,7,8,69,7,7,5,,<5
2019-04-02,PrimD,Atletico Madrid,4,3,Girona,51,5,3,76,8,8,-25,,<5
2019-04-01,PrimD,Celta Vigo,5,1,Girona,55,6,3,78,9,8,-23,,>=5
2019-03-06,PrimD,Leganes,6,2,Girona,43,4,2,80,9,8,-37,,>=5
2019-02-07,PrimD,Real Madrid,7,0,Girona,77,8,8,80,9,8,-3,,>=5
2019-02-03,PrimD,Eibar,8,5,Girona,78,8,7,75,8,8,3,,>=5
2019-01-04,PrimD,Levante,8,2,Girona,59,6,5,71,7,7,-12,,>=5
2019-01-01,PrimD,Real Betis,7,2,Girona,52,5,4,68,6,7,-16,,>=5
2018-12-06,PrimD,Sevilla,5,3,Girona,58,6,6,69,7,7,-11,,>=5
2018-12-01,PrimD,Athletic Bilbao,11,0,Girona,56,6,5,65,7,7,-9,,>=5
2018-11-05,PrimD,Espanyol,8,3,Girona,53,5,5,62,6,6,-9,,>=5
2018-11-03,PrimD,Valencia,11,2,Girona,60,6,5,58,6,6,2,,>=5
2018-10-02,PrimD,Real Sociedad,7,6,Girona,47,5,4,60,6,6,-13,,>=5
2018-09-03,PrimD,Barcelona,8,2,Girona,63,6,6,54,5,5,9,,>=5
2018-08-01,PrimD,Villarreal,7,2,Girona,58,6,4,55,5,6,3,,>=5
2018-04-09,PrimD,CD Alaves,3,6,Girona,46,5,3,55,5,6,-9,,<5
2018-04-09,PrimD,Getafe,4,4,Girona,57,6,3,58,6,6,-1,,<5
2018-04-08,PrimD,Real Sociedad,4,5,Girona,64,6,6,57,6,6,7,,<5
2018-03-08,PrimD,Real Madrid,6,7,Girona,75,8,8,56,5,6,19,,>=5
2018-03-03,PrimD,Villarreal,7,2,Girona,59,6,7,55,5,6,4,,>=5
2018-02-04,PrimD,Barcelona,5,3,Girona,60,6,6,56,6,6,4,,>=5
2018-02-01,PrimD,Sevilla,7,2,Girona,64,6,6,,,,,,>=5
2018-01-06,PrimD,Valencia,9,7,Girona,62,6,4,,,,,,>=5
2018-01-01,PrimD,Atletico Madrid,2,1,Girona,57,6,5,,,,,,<5
2017-12-01,PrimD,Espanyol,8,6,Girona,55,6,4,,,,,,>=5
2017-12-01,PrimD,Eibar,3,2,Girona,58,6,4,,,,,,<5
2017-11-05,PrimD,Levante,7,2,Girona,48,5,3,,,,,,>=5
2017-11-05,PrimD,Real Betis,3,5,Girona,49,5,4,,,,,,<5
2017-09-09,PrimD,Celta Vigo,5,6,Girona,36,4,1,,,,,,>=5
2017-09-01,PrimD,Leganes,6,3,Girona,48,5,4,,,,,,>=5
2017-09-01,PrimD,Athletic Bilbao,6,4,Girona,68,7,5,,,,,,>=5
2019-09-09,PrimD,Sevilla,7,0,Real Sociedad,59,6,4,53,3,5,6,3,>=5
2019-09-02,PrimD,Espanyol,5,7,Real Sociedad,53,5,4,51,3,5,2,1,>=5
2019-08-07,PrimD,Valencia,3,3,Real Sociedad,68,7,9,55,4,6,13,1,<5
2019-08-05,PrimD,Mallorca,5,5,Real Sociedad,84,8,8,60,5,6,24,3,>=5
2019-08-01,PrimD,Athletic Bilbao,3,1,Real Sociedad,53,5,6,59,5,6,-6,3,<5
2019-05-08,PrimD,Espanyol,4,5,Real Sociedad,44,4,3,57,5,6,-13,1,<5
2019-05-04,PrimD,CD Alaves,13,6,Real Sociedad,41,4,2,50,5,5,-9,,>=5
2019-04-07,PrimD,Celta Vigo,2,7,Real Sociedad,54,5,2,54,6,5,0,0,<5
2019-04-01,PrimD,Barcelona,4,2,Real Sociedad,63,6,4,60,7,6,3,1,<5
2019-03-01,PrimD,Valladolid,7,5,Real Sociedad,75,8,8,64,7,6,11,,>=5
2019-03-01,PrimD,Sevilla,7,2,Real Sociedad,57,6,4,64,7,6,-7,3,>=5
2019-02-05,PrimD,Girona,3,5,Real Sociedad,34,3,1,65,7,7,-31,,<5
2019-02-01,PrimD,Valencia,7,5,Real Sociedad,69,7,7,63,6,6,6,0,>=5
2019-01-06,PrimD,Real Madrid,10,4,Real Sociedad,71,7,6,57,5,6,14,1,>=5
2019-01-01,PrimD,Rayo Vallecano,2,9,Real Sociedad,50,5,4,61,6,6,-11,3,<5
2018-12-05,PrimD,Getafe,2,3,Real Sociedad,56,6,5,62,6,6,-6,2,<5
2018-12-02,PrimD,Real Betis,6,4,Real Sociedad,59,6,6,60,5,6,-1,1,>=5
2018-11-09,PrimD,Levante,6,4,Real Sociedad,49,5,3,59,4,6,-10,1,>=5
2018-10-07,PrimD,Atletico Madrid,10,1,Real Sociedad,70,7,7,57,4,6,13,2,>=5
2018-10-05,PrimD,Athletic Bilbao,11,0,Real Sociedad,47,5,4,52,4,5,-5,3,>=5
2018-09-01,PrimD,SD Huesca,7,5,Real Sociedad,,,,49,3,5,,,>=5
2018-08-08,PrimD,Villarreal,4,6,Real Sociedad,63,6,5,49,3,5,14,0,<5
2018-08-04,PrimD,Leganes,5,0,Real Sociedad,58,6,7,49,3,5,9,,>=5
2018-08-01,PrimD,Eibar,4,2,Real Sociedad,73,7,8,50,3,5,23,1,<5
2018-05-04,PrimD,Sevilla,6,4,Real Sociedad,71,7,7,46,2,5,25,3,>=5
2018-05-01,PrimD,Barcelona,3,8,Real Sociedad,64,6,6,49,3,5,15,2,<5
2018-04-04,PrimD,Las Palmas,4,6,Real Sociedad,51,5,5,50,3,5,1,,<5
2018-04-02,PrimD,Malaga,5,3,Real Sociedad,48,5,4,48,3,5,0,2,>=5
2018-04-01,PrimD,Eibar,8,1,Real Sociedad,57,6,5,48,3,5,9,0,>=5
2018-03-01,PrimD,Espanyol,6,4,Real Sociedad,45,5,4,46,2,5,-1,0,>=5
2018-03-01,PrimD,Real Betis,4,10,Real Sociedad,42,4,4,45,2,5,-3,2,<5
2018-02-05,PrimD,Valencia,4,4,Real Sociedad,64,6,5,46,2,5,18,1,<5
2018-02-01,PrimD,Real Madrid,5,3,Real Sociedad,88,9,9,46,2,5,42,2,>=5
2018-01-07,PrimD,Leganes,5,6,Real Sociedad,44,4,3,51,3,5,-7,,>=5
2018-01-07,PrimD,Villarreal,2,9,Real Sociedad,62,6,7,52,3,5,10,1,<5
2017-12-06,PrimD,Athletic Bilbao,6,6,Real Sociedad,69,7,8,48,2,5,21,3,>=5
2017-12-02,PrimD,Atletico Madrid,5,6,Real Sociedad,59,6,6,48,2,5,11,2,>=5
2017-11-07,PrimD,Girona,3,6,Real Sociedad,,,,51,3,5,,,<5
2017-10-09,PrimD,Getafe,8,7,Real Sociedad,58,6,5,48,2,5,10,2,>=5
2017-10-04,PrimD,CD Alaves,4,9,Real Sociedad,35,4,0,51,3,5,-16,,<5
